"country","period","sex","education","age.x","lx","LE","dx","edu","year","age.y","share","age2"
"Denmark","2011-2015","f","High","30-34",1e+05,56.068228686987,70.8317855276546,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","35-39",99929.1682144723,51.1061989148319,139.109802980907,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","40-44",99790.0584114914,46.1739571551048,300.252885498368,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","45-49",99489.8055259931,41.3057619323644,455.211198140678,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","50-54",99034.5943278524,36.4841321019388,899.55032567383,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","55-59",98135.0440021786,31.7956460713967,1389.27151887021,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","60-64",96745.7724833083,27.2163322230413,2328.27866162,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","65-69",94417.4938216883,22.8258221234733,3407.83710974443,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","70-74",91009.6567119439,18.5869181809793,5541.97304016518,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","75-79",85467.6836717787,14.6300407160501,8970.40984382007,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","80-84",76497.2738279587,11.0524631266828,15944.6328159406,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","85-89",60552.6410120181,8.30448520115781,21092.1975698453,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","High","90+",39460.4434421727,6.40706940889683,39460.4434421727,"High","2011","30-34",0.498443444714694,"30"
"Denmark","2011-2015","f","Low","30-34",1e+05,50.6661226370824,408.141186148452,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","35-39",99591.8588138515,45.8635140570178,470.60951263117,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","40-44",99121.2493012204,41.0693960687984,921.549121189368,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","45-49",98199.700180031,36.4313482233044,1600.30446060297,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","50-54",96599.395719428,31.993468591777,2256.33684016101,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","55-59",94343.058879267,27.6988432162411,3198.87835451105,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","60-64",91144.180524756,23.5832445423494,4673.92723699348,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","65-69",86470.2532877625,19.7228451236354,6037.88943723174,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","70-74",80432.3638505308,16.0157281084538,8170.36285408249,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","75-79",72262.0009964483,12.5438950753306,11925.4277775853,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","80-84",60336.573218863,9.52905496984468,16251.3700183203,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","85-89",44085.2032005426,7.1202140187079,18284.7805574727,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","f","Low","90+",25800.4226430699,5.39456345977508,25800.4226430699,"Low","2011","30-34",0.137681670148581,"30"
"Denmark","2011-2015","m","Middle","30-34",1e+05,49.4884714476138,268.19690247206,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","35-39",99731.8030975279,44.6148319675557,381.702826166031,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","40-44",99350.1002713619,39.7766370421516,626.380949564991,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","45-49",98723.7193217969,35.0131493561878,1094.84120512001,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","50-54",97628.8781166769,30.3777621255861,1858.51659478724,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","55-59",95770.3615218897,25.9187570922188,3274.84169876367,"Medium","2011","30-34",0.460265851139458,"30"
