"x","lx","cohort"
16,96996.6270515444,1963
17,96947.5815429842,1963
18,96884.6499106201,1963
19,96777.735873946,1963
20,96670.8621342223,1963
21,96547.968230264,1963
22,96464.6191304899,1963
23,96372.8386938401,1963
24,96259.223164578,1963
25,96159.5013361763,1963
26,96057.5314646144,1963
27,95935.1272852414,1963
28,95824.2384989927,1963
29,95700.232283039,1963
30,95571.7773994359,1963
31,95452.5831572859,1963
32,95344.8890133555,1963
33,95186.6480025189,1963
34,95046.6445252338,1963
35,94918.0530000161,1963
36,94782.9375999276,1963
37,94672.1317739531,1963
38,94536.9931191685,1963
39,94379.6737942787,1963
40,94193.6255846674,1963
41,94000.9085118334,1963
42,93790.4043679686,1963
43,93626.5818173951,1963
44,93447.2868403402,1963
45,93215.230921786,1963
46,92968.2806983628,1963
47,92699.4106343519,1963
48,92465.8462120528,1963
49,92190.3822611848,1963
50,91844.508326678,1963
51,91525.0393742195,1963
52,91142.1568211996,1963
53,90829.8449289643,1963
54,90507.2208157667,1963
55,90073.1448796241,1963
56,89674.3467867271,1963
57,89240.4900797675,1963
58,88671.4899438283,1963
0,1e+05,1964
1,97894.3618322927,1964
2,97775.2012994625,1964
3,97700.4337756428,1964
4,97616.4228169301,1964
5,97536.9588072913,1964
6,97492.5637234844,1964
7,97436.8418808642,1964
8,97371.8836484262,1964
9,97330.1605208293,1964
10,97297.7747578139,1964
11,97272.3344321988,1964
12,97232.9633191451,1964
13,97212.1490089841,1964
14,97182.1198716468,1964
15,97131.393810546,1964
16,97076.1441621182,1964
17,96993.5102118085,1964
18,96938.5019722451,1964
19,96844.8279710662,1964
20,96746.7272569121,1964
21,96662.6065532027,1964
22,96556.3578850619,1964
23,96480.2848818855,1964
24,96404.4627271418,1964
25,96288.6701707855,1964
26,96188.5398655015,1964
27,96068.6738762792,1964
28,95982.4293256232,1964
29,95898.5546528662,1964
30,95788.4603007874,1964
31,95680.8826582113,1964
32,95580.6625315377,1964
33,95437.2576689606,1964
34,95322.4102045391,1964
35,95205.5773132093,1964
36,95079.9751346171,1964
37,94960.8478583719,1964
38,94802.7613980631,1964
39,94683.6204495373,1964
40,94527.5699113909,1964
41,94358.511330986,1964
42,94174.2117475235,1964
43,93974.8694500467,1964
44,93765.1383737209,1964
45,93592.6571377413,1964
46,93394.1804240043,1964
47,93159.0779581051,1964
48,92917.0473027726,1964
49,92679.4584149592,1964
50,92372.691818232,1964
51,92079.3145551625,1964
52,91743.5471684677,1964
53,91414.5887540671,1964
54,91036.5624148871,1964
55,90682.1594847525,1964
56,90222.5775174203,1964
57,89769.6792068892,1964
0,1e+05,1965
1,97782.5318775632,1965
2,97689.4124341255,1965
3,97616.7343319948,1965
4,97550.7675062449,1965
5,97503.0380686337,1965
6,97441.9016058091,1965
7,97383.0859433702,1965
8,97308.5559145727,1965
9,97252.1666164537,1965
