"year","country","sex","edu","age","n","prev","source","alln"
"2011","Austria","m","2","From 35 to 39 years",176893,0.631294007644349,"EUROSTATcensus",NA
"2011","Austria","m","2","From 40 to 44 years",220744,0.65221078134464,"EUROSTATcensus",NA
"2011","Austria","m","2","From 45 to 49 years",237416,0.662871374206716,"EUROSTATcensus",NA
"2011","Austria","m","2","From 50 to 54 years",206997,0.661564767170571,"EUROSTATcensus",NA
"2011","Austria","m","2","From 55 to 59 years",160805,0.635545156687838,"EUROSTATcensus",NA
"2011","Austria","m","2","From 60 to 64 years",146364,0.631974369381428,"EUROSTATcensus",NA
"2011","Austria","m","2","From 65 to 69 years",117099,0.618847802305241,"EUROSTATcensus",NA
"2011","Austria","m","3","From 25 to 29 years",53210,0.191930340936963,"EUROSTATcensus",NA
"2011","Austria","m","3","From 30 to 34 years",63258,0.234057432094928,"EUROSTATcensus",NA
"2011","Austria","m","3","From 35 to 39 years",65470,0.233648695428737,"EUROSTATcensus",NA
"2011","Austria","m","3","From 40 to 44 years",73386,0.216826461420277,"EUROSTATcensus",NA
"2011","Austria","m","3","From 45 to 49 years",72574,0.202628412203382,"EUROSTATcensus",NA
"2011","Austria","m","3","From 50 to 54 years",62280,0.199047588609415,"EUROSTATcensus",NA
"2011","Austria","m","3","From 55 to 59 years",48940,0.193424209249108,"EUROSTATcensus",NA
"2011","Austria","m","3","From 60 to 64 years",42059,0.181603468078308,"EUROSTATcensus",NA
"2011","Austria","m","3","From 65 to 69 years",36038,0.190454547856739,"EUROSTATcensus",NA
"2011","Belgium","f","1","From 25 to 29 years",44443,0.145377288131158,"EUROSTATcensus",NA
"2011","Belgium","f","1","From 30 to 34 years",41128,0.132170000803406,"EUROSTATcensus",NA
"2011","Belgium","f","1","From 35 to 39 years",54518,0.16796164960904,"EUROSTATcensus",NA
"2011","Belgium","f","1","From 40 to 44 years",78122,0.220501733033769,"EUROSTATcensus",NA
"2011","Belgium","f","1","From 45 to 49 years",116553,0.306499838273231,"EUROSTATcensus",NA
"2011","Belgium","f","1","From 50 to 54 years",143013,0.39321369359065,"EUROSTATcensus",NA
"2011","Belgium","f","1","From 55 to 59 years",153746,0.465905440704983,"EUROSTATcensus",NA
"2011","Belgium","f","1","From 60 to 64 years",169032,0.551176326730252,"EUROSTATcensus",NA
"2011","Belgium","f","1","From 65 to 69 years",146561,0.63949333065716,"EUROSTATcensus",NA
"2011","Belgium","f","2","From 25 to 29 years",112700,0.36865243958287,"EUROSTATcensus",NA
"2011","Belgium","f","2","From 30 to 34 years",117975,0.379127500602555,"EUROSTATcensus",NA
"2011","Belgium","f","2","From 35 to 39 years",123569,0.380697257429464,"EUROSTATcensus",NA
"2011","Belgium","f","2","From 40 to 44 years",137791,0.388919309496122,"EUROSTATcensus",NA
"2011","Belgium","f","2","From 45 to 49 years",135429,0.356138122549445,"EUROSTATcensus",NA
"2011","Belgium","f","2","From 50 to 54 years",117624,0.32340673571568,"EUROSTATcensus",NA
"2011","Belgium","f","2","From 55 to 59 years",96179,0.291456814366322,"EUROSTATcensus",NA
"2011","Belgium","f","2","From 60 to 64 years",73616,0.240045650933399,"EUROSTATcensus",NA
"2011","Belgium","f","2","From 65 to 69 years",44056,0.192230662832758,"EUROSTATcensus",NA
"2011","Belgium","f","3","From 25 to 29 years",148565,0.485970272285972,"EUROSTATcensus",NA
"2011","Belgium","f","3","From 30 to 34 years",152072,0.488702498594039,"EUROSTATcensus",NA
"2011","Belgium","f","3","From 35 to 39 years",146499,0.451341092961496,"EUROSTATcensus",NA
"2011","Belgium","f","3","From 40 to 44 years",138379,0.390578957470109,"EUROSTATcensus",NA
"2011","Belgium","f","3","From 45 to 49 years",128289,0.337362039177324,"EUROSTATcensus",NA
"2011","Belgium","f","3","From 50 to 54 years",103066,0.28337957069367,"EUROSTATcensus",NA
"2011","Belgium","f","3","From 55 to 59 years",80069,0.242637744928696,"EUROSTATcensus",NA
"2011","Belgium","f","3","From 60 to 64 years",64027,0.20877802233635,"EUROSTATcensus",NA
"2011","Belgium","f","3","From 65 to 69 years",38566,0.168276006510081,"EUROSTATcensus",NA
"2011","Belgium","m","1","From 25 to 29 years",73097,0.235337486518247,"EUROSTATcensus",NA
"2011","Belgium","m","1","From 30 to 34 years",62477,0.199671459480535,"EUROSTATcensus",NA
"2011","Belgium","m","1","From 35 to 39 years",73126,0.223880916881232,"EUROSTATcensus",NA
"2011","Belgium","m","1","From 40 to 44 years",97496,0.272706930117031,"EUROSTATcensus",NA
"2011","Belgium","m","1","From 45 to 49 years",134829,0.352930552029045,"EUROSTATcensus",NA
"2011","Belgium","m","1","From 50 to 54 years",149287,0.412578522492048,"EUROSTATcensus",NA
"2011","Belgium","m","1","From 55 to 59 years",146227,0.450163315693391,"EUROSTATcensus",NA
"2011","Belgium","m","1","From 60 to 64 years",147770,0.497743195904069,"EUROSTATcensus",NA
"2011","Belgium","m","1","From 65 to 69 years",116806,0.552901637792294,"EUROSTATcensus",NA
"2011","Belgium","m","2","From 25 to 29 years",134808,0.434017482010914,"EUROSTATcensus",NA
"2011","Belgium","m","2","From 30 to 34 years",139861,0.446984490202909,"EUROSTATcensus",NA
"2011","Belgium","m","2","From 35 to 39 years",139969,0.428525942277018,"EUROSTATcensus",NA
"2011","Belgium","m","2","From 40 to 44 years",146494,0.409759672402605,"EUROSTATcensus",NA
"2011","Belgium","m","2","From 45 to 49 years",135799,0.355469639580449,"EUROSTATcensus",NA
"2011","Belgium","m","2","From 50 to 54 years",114962,0.317715890216367,"EUROSTATcensus",NA
"2011","Belgium","m","2","From 55 to 59 years",95473,0.29391591319794,"EUROSTATcensus",NA
"2011","Belgium","m","2","From 60 to 64 years",76151,0.256504311506333,"EUROSTATcensus",NA
"2011","Belgium","m","2","From 65 to 69 years",45894,0.217239420619142,"EUROSTATcensus",NA
"2011","Belgium","m","3","From 25 to 29 years",102700,0.330645031470839,"EUROSTATcensus",NA
"2011","Belgium","m","3","From 30 to 34 years",110561,0.353344050316556,"EUROSTATcensus",NA
"2011","Belgium","m","3","From 35 to 39 years",113534,0.34759314084175,"EUROSTATcensus",NA
"2011","Belgium","m","3","From 40 to 44 years",113522,0.317533397480364,"EUROSTATcensus",NA
"2011","Belgium","m","3","From 45 to 49 years",111399,0.291599808390506,"EUROSTATcensus",NA
"2011","Belgium","m","3","From 50 to 54 years",97590,0.269705587291586,"EUROSTATcensus",NA
"2011","Belgium","m","3","From 55 to 59 years",83131,0.255920771108669,"EUROSTATcensus",NA
"2011","Belgium","m","3","From 60 to 64 years",72959,0.245752492589598,"EUROSTATcensus",NA
"2011","Belgium","m","3","From 65 to 69 years",48560,0.229858941588564,"EUROSTATcensus",NA
"2001","Bulgaria","f","1","From 25 to 29 years",56533,0.205266272833889,"EUROSTATcensus",NA
"2001","Bulgaria","f","1","From 30 to 34 years",50089,0.190008155833318,"EUROSTATcensus",NA
"2001","Bulgaria","f","1","From 35 to 39 years",49994,0.193658098204187,"EUROSTATcensus",NA
"2001","Bulgaria","f","1","From 40 to 44 years",56274,0.206444938478132,"EUROSTATcensus",NA
"2001","Bulgaria","f","1","From 45 to 49 years",72657,0.257674520874413,"EUROSTATcensus",NA
"2001","Bulgaria","f","1","From 50 to 54 years",96287,0.320219095350376,"EUROSTATcensus",NA
"2001","Bulgaria","f","1","From 55 to 59 years",114648,0.461860122224863,"EUROSTATcensus",NA
"2001","Bulgaria","f","1","From 60 to 64 years",127495,0.555045232518655,"EUROSTATcensus",NA
"2001","Bulgaria","f","1","From 65 to 69 years",157385,0.656991742989055,"EUROSTATcensus",NA
"2001","Bulgaria","f","2","From 25 to 29 years",132942,0.482700526118956,"EUROSTATcensus",NA
"2001","Bulgaria","f","2","From 30 to 34 years",138204,0.524264552472355,"EUROSTATcensus",NA
"2001","Bulgaria","f","2","From 35 to 39 years",142454,0.551813632067432,"EUROSTATcensus",NA
"2001","Bulgaria","f","2","From 40 to 44 years",141771,0.520096409940349,"EUROSTATcensus",NA
"2001","Bulgaria","f","2","From 45 to 49 years",133747,0.474327238165492,"EUROSTATcensus",NA
"2001","Bulgaria","f","2","From 50 to 54 years",142731,0.474676661423189,"EUROSTATcensus",NA
"2001","Bulgaria","f","2","From 55 to 59 years",85517,0.344505722492356,"EUROSTATcensus",NA
"2001","Bulgaria","f","2","From 60 to 64 years",69569,0.302866322452569,"EUROSTATcensus",NA
"2001","Bulgaria","f","2","From 65 to 69 years",60162,0.251141705001795,"EUROSTATcensus",NA
"2001","Bulgaria","f","3","From 25 to 29 years",85938,0.312033201047155,"EUROSTATcensus",NA
"2001","Bulgaria","f","3","From 30 to 34 years",75322,0.285727291694327,"EUROSTATcensus",NA
"2001","Bulgaria","f","3","From 35 to 39 years",65708,0.254528269728381,"EUROSTATcensus",NA
"2001","Bulgaria","f","3","From 40 to 44 years",74541,0.273458651581519,"EUROSTATcensus",NA
"2001","Bulgaria","f","3","From 45 to 49 years",75568,0.267998240960095,"EUROSTATcensus",NA
"2001","Bulgaria","f","3","From 50 to 54 years",61673,0.205104243226435,"EUROSTATcensus",NA
"2001","Bulgaria","f","3","From 55 to 59 years",48066,0.193634155282781,"EUROSTATcensus",NA
"2001","Bulgaria","f","3","From 60 to 64 years",32638,0.142088445028776,"EUROSTATcensus",NA
"2001","Bulgaria","f","3","From 65 to 69 years",22007,0.0918665520091503,"EUROSTATcensus",NA
"2001","Bulgaria","m","1","From 25 to 29 years",67918,0.236464349999826,"EUROSTATcensus",NA
"2001","Bulgaria","m","1","From 30 to 34 years",57076,0.209720267643568,"EUROSTATcensus",NA
"2001","Bulgaria","m","1","From 35 to 39 years",54779,0.209195130147868,"EUROSTATcensus",NA
"2001","Bulgaria","m","1","From 40 to 44 years",63218,0.232312356453836,"EUROSTATcensus",NA
"2001","Bulgaria","m","1","From 45 to 49 years",82139,0.299820047379007,"EUROSTATcensus",NA
"2001","Bulgaria","m","1","From 50 to 54 years",101463,0.356005529746951,"EUROSTATcensus",NA
"2001","Bulgaria","m","1","From 55 to 59 years",105644,0.46595450014555,"EUROSTATcensus",NA
"2001","Bulgaria","m","1","From 60 to 64 years",107962,0.538281281161501,"EUROSTATcensus",NA
"2001","Bulgaria","m","1","From 65 to 69 years",123439,0.616009182324026,"EUROSTATcensus",NA
"2001","Bulgaria","m","2","From 25 to 29 years",175173,0.609885002245642,"EUROSTATcensus",NA
"2001","Bulgaria","m","2","From 30 to 34 years",164980,0.606203128387341,"EUROSTATcensus",NA
"2001","Bulgaria","m","2","From 35 to 39 years",157791,0.602586918000733,"EUROSTATcensus",NA
"2001","Bulgaria","m","2","From 40 to 44 years",157804,0.57989526871842,"EUROSTATcensus",NA
"2001","Bulgaria","m","2","From 45 to 49 years",140088,0.511342855369925,"EUROSTATcensus",NA
"2001","Bulgaria","m","2","From 50 to 54 years",134869,0.473217919748495,"EUROSTATcensus",NA
"2001","Bulgaria","m","2","From 55 to 59 years",84361,0.372083484029181,"EUROSTATcensus",NA
"2001","Bulgaria","m","2","From 60 to 64 years",61010,0.3041861114435,"EUROSTATcensus",NA
"2001","Bulgaria","m","2","From 65 to 69 years",47717,0.238126606282905,"EUROSTATcensus",NA
"2001","Bulgaria","m","3","From 25 to 29 years",44132,0.153650647754532,"EUROSTATcensus",NA
"2001","Bulgaria","m","3","From 30 to 34 years",50097,0.184076603969091,"EUROSTATcensus",NA
"2001","Bulgaria","m","3","From 35 to 39 years",49286,0.188217951851399,"EUROSTATcensus",NA
"2001","Bulgaria","m","3","From 40 to 44 years",51103,0.187792374827745,"EUROSTATcensus",NA
"2001","Bulgaria","m","3","From 45 to 49 years",51734,0.188837097251069,"EUROSTATcensus",NA
"2001","Bulgaria","m","3","From 50 to 54 years",48672,0.170776550504554,"EUROSTATcensus",NA
"2001","Bulgaria","m","3","From 55 to 59 years",36721,0.161962015825269,"EUROSTATcensus",NA
"2001","Bulgaria","m","3","From 60 to 64 years",31596,0.157532607394998,"EUROSTATcensus",NA
"2001","Bulgaria","m","3","From 65 to 69 years",29229,0.145864211393068,"EUROSTATcensus",NA
"2011","Bulgaria","f","1","From 25 to 29 years",49135,0.20866599850513,"EUROSTATcensus",NA
"2011","Bulgaria","f","1","From 30 to 34 years",51337,0.199584789615075,"EUROSTATcensus",NA
"2011","Bulgaria","f","1","From 35 to 39 years",48470,0.18348589123341,"EUROSTATcensus",NA
"2011","Bulgaria","f","1","From 40 to 44 years",43684,0.174844403530189,"EUROSTATcensus",NA
"2011","Bulgaria","f","1","From 45 to 49 years",45090,0.184329724956667,"EUROSTATcensus",NA
"2011","Bulgaria","f","1","From 50 to 54 years",52100,0.20012137880173,"EUROSTATcensus",NA
"2011","Bulgaria","f","1","From 55 to 59 years",67234,0.246703115253367,"EUROSTATcensus",NA
"2011","Bulgaria","f","1","From 60 to 64 years",88526,0.302891162281452,"EUROSTATcensus",NA
"2011","Bulgaria","f","1","From 65 to 69 years",100799,0.432862676388996,"EUROSTATcensus",NA
"2011","Bulgaria","f","2","From 25 to 29 years",95071,0.40374651763267,"EUROSTATcensus",NA
"2011","Bulgaria","f","2","From 30 to 34 years",101572,0.394885292299558,"EUROSTATcensus",NA
"2011","Bulgaria","f","2","From 35 to 39 years",118149,0.447259636132373,"EUROSTATcensus",NA
"2011","Bulgaria","f","2","From 40 to 44 years",125410,0.501951209750045,"EUROSTATcensus",NA
"2011","Bulgaria","f","2","From 45 to 49 years",131287,0.53670651143016,"EUROSTATcensus",NA
"2011","Bulgaria","f","2","From 50 to 54 years",133748,0.513739619423681,"EUROSTATcensus",NA
"2011","Bulgaria","f","2","From 55 to 59 years",131547,0.482688144424467,"EUROSTATcensus",NA
