"sex","geo","time","edu","prevnew"
"M","NO",2015,"ED3_4",0.391372172556549
"M","NO",2015,"ED5-8",0.340103197936041
"M","NO",2016,"ED0-2",0.276978837834678
"M","NO",2016,"ED3_4",0.419589617678008
"M","NO",2016,"ED5-8",0.303431544487314
"M","NO",2017,"ED0-2",0.263516649263256
"M","NO",2017,"ED3_4",0.386848822369184
"M","NO",2017,"ED5-8",0.34963452836756
"M","NO",2018,"ED0-2",0.258446584989669
"M","NO",2018,"ED3_4",0.382795448592963
"M","NO",2018,"ED5-8",0.358757966417368
"M","NO",2019,"ED0-2",0.25906246310072
"M","NO",2019,"ED3_4",0.383811547998583
"M","NO",2019,"ED5-8",0.357125988900697
"M","NO",2020,"ED0-2",0.248317495161896
"M","NO",2020,"ED3_4",0.382773461194073
"M","NO",2020,"ED5-8",0.368909043644031
"M","SE",2007,"ED0-2",0.134143350376394
"M","SE",2007,"ED3_4",0.5954568609324
"M","SE",2007,"ED5-8",0.270399788691206
"M","SE",2008,"ED0-2",0.143045203396744
"M","SE",2008,"ED3_4",0.591519264285979
"M","SE",2008,"ED5-8",0.265435532317277
"M","SE",2009,"ED0-2",0.135350171153668
"M","SE",2009,"ED3_4",0.610750300675363
"M","SE",2009,"ED5-8",0.253899528170969
"M","SE",2010,"ED0-2",0.13350189179981
"M","SE",2010,"ED3_4",0.615041153370273
"M","SE",2010,"ED5-8",0.251456954829917
"M","SE",2011,"ED0-2",0.131344400598721
"M","SE",2011,"ED3_4",0.621002857531637
"M","SE",2011,"ED5-8",0.247652741869642
"M","SE",2012,"ED0-2",0.123959021810972
"M","SE",2012,"ED3_4",0.631394580304032
"M","SE",2012,"ED5-8",0.244646397884997
"M","SE",2013,"ED0-2",0.120730829625752
"M","SE",2013,"ED3_4",0.634078120910756
"M","SE",2013,"ED5-8",0.245191049463491
"M","SE",2014,"ED0-2",0.166567145897448
"M","SE",2014,"ED3_4",0.588106502533952
"M","SE",2014,"ED5-8",0.2453263515686
"M","SE",2015,"ED0-2",0.160475482912333
"M","SE",2015,"ED3_4",0.594398216939079
"M","SE",2015,"ED5-8",0.245126300148588
"M","SE",2016,"ED0-2",0.163067904250122
"M","SE",2016,"ED3_4",0.596301207341755
"M","SE",2016,"ED5-8",0.240630888408123
"M","SE",2017,"ED0-2",0.159651087242013
"M","SE",2017,"ED3_4",0.600367713128465
"M","SE",2017,"ED5-8",0.239981199629522
"M","SE",2018,"ED0-2",0.157546577349801
"M","SE",2018,"ED3_4",0.600655920731282
"M","SE",2018,"ED5-8",0.241797501918917
"M","SE",2019,"ED0-2",0.159503810745004
"M","SE",2019,"ED3_4",0.599245054675907
"M","SE",2019,"ED5-8",0.241251134579089
"M","SE",2020,"ED0-2",0.160504451038576
"M","SE",2020,"ED3_4",0.598115727002967
"M","SE",2020,"ED5-8",0.241379821958457
"M","SI",2011,"ED0-2",0.139700296940819
"M","SI",2011,"ED3_4",0.743318831572405
"M","SI",2011,"ED5-8",0.116980871486776
"M","SI",2012,"ED0-2",0.126044367617401
"M","SI",2012,"ED3_4",0.731561509651397
"M","SI",2012,"ED5-8",0.142394122731201
"M","SI",2014,"ED0-2",0.116810344827586
"M","SI",2014,"ED3_4",0.687787356321839
"M","SI",2014,"ED5-8",0.195402298850575
"M","SI",2015,"ED0-2",0.0791446382072122
"M","SI",2015,"ED3_4",0.704332044504064
"M","SI",2015,"ED5-8",0.216523317288724
"M","SI",2016,"ED0-2",0.0762726054922974
"M","SI",2016,"ED3_4",0.673727394507703
"M","SI",2016,"ED5-8",0.25
"M","SI",2017,"ED0-2",0.0795425230028377
"M","SI",2017,"ED3_4",0.664717516553444
"M","SI",2017,"ED5-8",0.255739960443718
"M","SI",2018,"ED0-2",0.0938753189938024
"M","SI",2018,"ED3_4",0.63908129784907
"M","SI",2018,"ED5-8",0.267043383157127
"M","SI",2019,"ED0-2",0.0922218284904323
"M","SI",2019,"ED3_4",0.646615875265769
"M","SI",2019,"ED5-8",0.261162296243799
"M","SI",2020,"ED0-2",0.106247307195174
"M","SI",2020,"ED3_4",0.63877638948729
"M","SI",2020,"ED5-8",0.254976303317536
"M","SK",2011,"ED0-2",0.0860873662246752
"M","SK",2011,"ED3_4",0.652285118126136
"M","SK",2011,"ED5-8",0.261627515649189
"M","SK",2012,"ED0-2",0.0885256589363882
"M","SK",2012,"ED3_4",0.644477042004284
"M","SK",2012,"ED5-8",0.266997299059328
"M","SK",2013,"ED0-2",0.0891884071948691
"M","SK",2013,"ED3_4",0.638207069489319
"M","SK",2013,"ED5-8",0.272604523315812
"M","SK",2014,"ED0-2",0.0918538302780138
"M","SK",2014,"ED3_4",0.623406580065558
"M","SK",2014,"ED5-8",0.284739589656428
"M","SK",2015,"ED0-2",0.0924203294636813
"M","SK",2015,"ED3_4",0.626582754557079
"M","SK",2015,"ED5-8",0.280996915979239
"M","SK",2016,"ED0-2",0.0659622716738518
"M","SK",2016,"ED3_4",0.68439283311321
"M","SK",2016,"ED5-8",0.249644895212938
"M","SK",2017,"ED0-2",0.0533425083467136
"M","SK",2017,"ED3_4",0.704691999898055
"M","SK",2017,"ED5-8",0.241965491755231
"M","SK",2018,"ED0-2",0.021886732167106
"M","SK",2018,"ED3_4",0.73799824267114
"M","SK",2018,"ED5-8",0.240115025161754
"M","SK",2019,"ED0-2",0.0125050532273279
"M","SK",2019,"ED3_4",0.752540088936801
"M","SK",2019,"ED5-8",0.234954857835871
"M","SK",2020,"ED0-2",0.0727354126249813
"M","SK",2020,"ED3_4",0.694702283241307
"M","SK",2020,"ED5-8",0.232562304133711
"M","SM",2012,"ED0-2",0.271317829457364
"M","SM",2012,"ED3_4",0.643410852713178
"M","SM",2012,"ED5-8",0.0852713178294574
"M","TR",2009,"ED0-2",0.450785008646224
"M","TR",2009,"ED3_4",0.444442542084948
"M","TR",2009,"ED5-8",0.104772449268828
"M","TR",2010,"ED0-2",0.421835209365151
"M","TR",2010,"ED3_4",0.414355695632598
"M","TR",2010,"ED5-8",0.163809095002251
"M","TR",2011,"ED0-2",0.403384362211203
"M","TR",2011,"ED3_4",0.435439808298869
"M","TR",2011,"ED5-8",0.161175829489928
"M","TR",2012,"ED0-2",0.371701838995543
"M","TR",2012,"ED3_4",0.411100255809217
"M","TR",2012,"ED5-8",0.21719790519524
"M","TR",2013,"ED0-2",0.362762447435031
"M","TR",2013,"ED3_4",0.410809387302551
"M","TR",2013,"ED5-8",0.226428165262418
"M","TR",2014,"ED0-2",0.351221111667567
"M","TR",2014,"ED3_4",0.389680705114297
